,January,2014-01-06,Home,Target,37.27
,January,2014-01-06,Food,Aldis,26.76
3083,January,2014-01-06,Home,Bob's Heating,468
3055,January,2014-01-07,Health,Dr. Yankum,97.25
,January,2014-01-08,Food,Woodmans,177.85
,January,2014-01-13,Food,Aldis,29.7
3058,January,2014-01-15,Utility,NiCor Gas,175.97
,January,2014-01-16,Food,Woodmans,122.47
,January,2014-01-20,Home,NiCor Gas,175.97
,January,2014-01-21,Food,Woodmans,89.17
,January,2014-01-21,Food,Aldis,37.52
3120,January,2014-01-24,Utility,AT&T,97.2
3051,January,2014-01-24,Utility,DirecTV,136.99
,January,2014-01-25,Food,Woodmans,184.74
,January,2014-01-30,Food,Woodmans,110.25
3065,January,2014-01-31,Insurance,Beep Auto,782
,February,2014-02-03,Food,Stale Nuts,66.27
3059,February,2014-02-04,Utility,ComEd,101.47
,February,2014-02-06,Food,Fresh Market,20.54
,February,2014-02-06,Food,Aldi,26.37
3080,February,2014-02-07,Utility,Water,83.48
,February,2014-02-10,Food,Aldis,35.99
,February,2014-02-11,Food,Woodmans,143.33
3079,February,2014-02-18,Utility,NiCor Gas,199.98
,February,2014-02-18,Home,HomeDepot,38.21
,February,2014-02-18,Food,Aldis,22.58
,February,2014-02-18,Food,Woodmans,176.07
,February,2014-02-20,Food,Woodmans,98.98
,February,2014-02-24,Food,Woodmans,46.15
,February,2014-02-22,Home,Home Depot,27.88
3056,February,2014-02-25,Utility,AT&T,95.94
3048,February,2014-02-26,Utility,DirecTV,143.81
,February,2014-02-26,Food,Woodmans,60.61
,March,2014-03-03,Food,Aldis,29.32
,March,2014-03-03,Food,Fresh Market,23.53
4053,March,2014-03-05,Utility,ComEd,82.36
,March,2014-03-05,Food,Woodmans,86.52
,March,2014-03-06,Food,Stale Nuts,52.61
,March,2014-03-08,Home,Home Depot,108.67
,March,2014-03-10,Food,Woodmans,78.6
,March,2014-03-13,Utility,NiCor Gas,196.28
,March,2014-03-13,Home,Home Depot,96.68
,March,2014-03-17,Food,Woodmans,99.56
3054,March,2014-03-18,Utility,NiCor Gas,196.28
,March,2014-03-19,Auto,Suburban Audo,190
,March,2014-03-19,Auto,Woodmans,9.85
3071,March,2014-03-20,Utility,DirecTV,143.81
3077,March,2014-03-20,Utility,AT&T,103.14
,March,2014-03-22,Food,Aldis,71.18
